category,item_id,param_name,param_value,mean_auc,train_time,n_targets
potions_food,3024,learning_rate,0.15,,27.84658694267273,36
potions_food,3024,learning_rate,0.2,,27.354097366333008,36
potions_food,2434,learning_rate,0.05,0.699573418500385,45.537856340408325,36
potions_food,2434,learning_rate,0.1,0.6762054877685798,37.13757085800171,36
potions_food,2434,learning_rate,0.15,0.6754103217058863,31.052485704421997,36
potions_food,2434,learning_rate,0.2,0.6655019090945833,29.961920499801636,36
potions_food,3024,l2_leaf_reg,1.0,,27.786479234695435,36
potions_food,3024,l2_leaf_reg,3.0,,27.831133604049683,36
potions_food,3024,l2_leaf_reg,5.0,,28.197041273117065,36
potions_food,3024,l2_leaf_reg,10.0,,27.987387895584106,36
potions_food,2434,l2_leaf_reg,1.0,0.6704273881113608,31.99169635772705,36
potions_food,2434,l2_leaf_reg,3.0,0.6762054877685798,37.083561182022095,36
potions_food,2434,l2_leaf_reg,5.0,0.7092934618427049,40.946831703186035,36
potions_food,2434,l2_leaf_reg,10.0,0.690243783370766,40.259637117385864,36
